var_name,label
LSOA_code,LSOA_code
LA_name,LA_name
MSOA11CD,MSOA11CD
ImdS2015IW,(IMD2015) IMD Score 2015 (Higher = More Deprived) including Wales
WhtPrcntOP,(Census2011) White (All Categories) % of Population
WhtBrtsPOP,(Census2011) White British % of Population
WhtIrshPOP,(Census2011) White Irish % of Population
WhtTrvlPOP,(Census2011) White Traveller % of Population
WhtOthrPOP,(Census2011) White Other % of Population
MxdHrtgPOP,(Census2011) Mixed Heritage (All Categories) % of Population
MxdHWBCPOP,(Census2011) Mixed Heritage White/Black Caribbean % of Population
MxdHWBAPOP,(Census2011) Mixed Heritage White/Black African % of Population
MxdHrWAPOP,(Census2011) Mixed Heritage White/Asian % of Population
MxdHrtOPOP,(Census2011) Mixed Heritage Other % of Population
AsnBrtAPOP,(Census2011) Asian/British Asian (All Categories) % of Population
AsnBrAIPOP,(Census2011) Asian/British Asian Indian % of Population
AsnBrAPPOP,(Census2011) Asian/British Asian Pakistani % of Population
AsnBrABPOP,(Census2011) Asian/British Asian Bangladeshi % of Population
AsnBrACPOP,(Census2011) Asian/British Asian Chinese % of Population
AsnBrAOPOP,(Census2011) Asian/British Asian Other % of Population
BlckBlBPOP,(Census2011) Black/Black British (All Categories) % of Population
BlckBBAPOP,(Census2011) Black/Black British African % of Population
BlckBBCPOP,(Census2011) Black/Black British Caribbean % of Population
BlckBBOPOP,(Census2011) Black/Black British Other % of Population
OtherAllPc,OtherAll_pc
OthrEGAPOP,(Census2011) Other Ethnic Group Arab % of Population
OthrEGOPOP,(Census2011) Other Ethnic Group Other % of Population
IndxOfMlDS,(IMD2019) Index of Multiple Deprivation (IMD) Score (Higher Score = More Deprived)
IncomeScor,(IMD2019) Income Score (rate) (Higher Score = More Deprived)
EmplymntSc,(IMD2019) Employment Score (rate) (Higher Score = More Deprived)
EdctnSkATS,"(IMD2019) Education, Skills and Training Score (Higher Score = More Deprived)"
HlthDprADS,(IMD2019) Health Deprivation and Disability Score (Higher Score = More Deprived)
CrimeScore,(IMD2019) Crime Score (Higher Score = More Deprived)
BrrrsHsASS,(IMD2019) Barriers to Housing and Services Score (Higher Score = More Deprived)
LvngEnvrnS,(IMD2019) Living Environment Score (Higher Score = More Deprived)
IncmDpACIS,(IMD2019) Income Deprivation Affecting Children Index (IDACI) Score (rate) (Higher Score = More Deprived)
